case_id,feature_id,observed_roc_auc,signed_auc_effect,absolute_auc_effect,null_mean,null_sd,p_maxT,activation_count,activation_proportion,unique_aggregated_values,mean,median,maximum,q05,q25,q75,q95,pass_mean,pass_median,pass_maximum,fail_mean,fail_median,fail_maximum,outside_lower_ranked_envelope,outside_upper_ranked_envelope,direction
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,11362,1.0,0.5,0.5,0.4908173076923077,0.1405238294849183,0.09950248756218906,21,1.0,21,4.746653079986572,4.678398609161377,7.121194362640381,3.3992483615875244,4.014306545257568,5.351023197174072,6.574392795562744,3.6993260383605957,3.841540575027466,4.401500701904297,5.391161918640137,5.098942756652832,7.121194362640381,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,10491,0.9903846153846154,0.4903846153846154,0.4903846153846154,0.49076923076923057,0.1344705264554555,0.13432835820895522,21,1.0,21,4.601975917816162,4.6571125984191895,6.330887794494629,3.516343116760254,4.322739601135254,5.050415992736816,5.419234275817871,3.838719606399536,3.842510223388672,4.566844940185547,5.071671485900879,5.028206825256348,6.330887794494629,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,6007,0.9807692307692307,0.4807692307692307,0.4807692307692307,0.48778846153846184,0.1352413673430886,0.22885572139303484,21,1.0,21,4.3210129737854,4.411566257476807,6.007483005523682,3.1695964336395264,3.669725179672241,4.736659526824951,5.368119716644287,3.589574098587036,3.627472400665283,4.289851188659668,4.771129131317139,4.642580032348633,6.007483005523682,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,1689,0.9711538461538461,0.47115384615384615,0.47115384615384615,0.5059615384615385,0.1436931003931355,0.2885572139303483,21,1.0,21,4.029361724853516,4.138193607330322,6.137300968170166,3.0403945446014404,3.5763628482818604,4.404257297515869,4.989792346954346,3.3746862411499023,3.27409029006958,4.043369770050049,4.432239055633545,4.275466442108154,6.137300968170166,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,12060,0.9711538461538461,0.47115384615384615,0.47115384615384615,0.48456730769230766,0.13072290433659758,0.2885572139303483,21,1.0,21,3.958007335662842,4.119708061218262,5.510461807250977,2.595500946044922,3.3375630378723145,4.581872940063477,5.246396541595459,3.1049857139587402,3.0685341358184814,4.119708061218262,4.482944965362549,4.251761436462402,5.510461807250977,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,14800,0.9711538461538461,0.47115384615384615,0.47115384615384615,0.4959615384615384,0.13623123615434934,0.2885572139303483,21,1.0,21,3.2904751300811768,3.2424228191375732,4.207248687744141,2.6049861907958984,3.0162298679351807,3.6137607097625732,4.142488479614258,2.8022546768188477,2.953184127807617,3.216278553009033,3.5909183025360107,3.587698221206665,4.207248687744141,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,9009,0.9615384615384616,0.46153846153846156,0.46153846153846156,0.49129807692307703,0.14117139084791505,0.40298507462686567,21,1.0,21,4.034212589263916,4.2024641036987305,5.413594722747803,2.7368695735931396,3.614651918411255,4.662594795227051,4.870055198669434,3.2747416496276855,3.4753708839416504,4.339536190032959,4.501580238342285,4.505761623382568,5.413594722747803,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,9076,0.9615384615384616,0.46153846153846156,0.46153846153846156,0.5023557692307697,0.13976912460041924,0.40298507462686567,21,1.0,21,4.231257438659668,4.41977596282959,5.024906635284424,2.604456663131714,4.112634658813477,4.7098388671875,4.948249340057373,3.6302783489227295,3.9318816661834717,4.1851935386657715,4.601089954376221,4.642150402069092,5.024906635284424,False,True,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,9175,0.9615384615384616,0.46153846153846156,0.46153846153846156,0.4925961538461541,0.12318471091396996,0.40298507462686567,21,1.0,21,4.384941101074219,4.413412570953369,5.5744242668151855,3.4821724891662598,4.101689338684082,4.83928918838501,5.300108432769775,3.783897876739502,3.780819892883301,4.413412570953369,4.7548136711120605,4.743651866912842,5.5744242668151855,False,False,high_activation_associated_with_failure
deepseek_base_finetuned_layer16__b_deepseek_finetuned__bigcodebench__layer16__evaluated_tokens,11176,0.9615384615384616,0.46153846153846156,0.46153846153846156,0.48605769230769225,0.1360118161308757,0.40298507462686567,21,1.0,21,3.4858860969543457,3.5539448261260986,4.775627613067627,2.242115020751953,3.159562349319458,4.0692644119262695,4.177175998687744,2.8752856254577637,2.991964817047119,3.6076173782348633,3.8616394996643066,3.88754940032959,4.775627613067627,False,True,high_activation_associated_with_failure
