rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
495,8585,0.00016194258932955563,0.20807692408561707,0.000841588422190398,16,7,0.4375,1.829268292682927,3.46901273727417
496,4634,0.00016160790983121842,0.44613170623779297,0.001828957931138575,19,18,0.9473684210526315,4.024390243902439,1.4411336183547974
497,1472,0.00016117037739604712,0.1307600885629654,0.0007629723404534161,21,11,0.5238095238095238,2.097560975609756,4.812938213348389
498,4837,0.00016100049833767116,0.1602468341588974,0.00035172520438209176,7,4,0.5714285714285714,0.6097560975609756,1.2194857597351074
499,6819,0.00016011133266147226,0.31777510046958923,0.0013888764660805464,20,16,0.8,2.341463414634146,3.3280832767486572
500,4334,0.00015971006359905005,0.37757232785224915,0.0015665525570511818,21,19,0.9047619047619048,4.048780487804878,1.7551140785217285
501,5941,0.00015948266081977636,0.19313398003578186,0.0025837209541350603,11,7,0.6363636363636364,4.2439024390243905,1.0457104444503784
502,9011,0.00015911446826066822,0.0972907766699791,0.0011732513085007668,24,12,0.5,1.7560975609756098,6.6006693840026855
503,1374,0.00015899540449026972,0.38618120551109314,0.0013339528813958168,15,13,0.8666666666666667,3.975609756097561,1.3531854152679443
504,10229,0.00015897212142590433,0.41576826572418213,0.0017486503347754478,22,19,0.8636363636363636,5.926829268292683,1.738208293914795
505,2632,0.00015890225768089294,0.3354053795337677,0.0013271595817059278,11,8,0.7272727272727273,1.4878048780487805,1.452241063117981
506,7714,0.00015830833581276238,0.15176843106746674,0.001498279394581914,10,7,0.7,2.902439024390244,2.3552279472351074
507,10162,0.00015816524683032185,0.25490686297416687,0.0007370514213107526,21,16,0.7619047619047619,2.7804878048780486,3.2372853755950928
508,3021,0.00015733241161797196,0.2354646474123001,0.0030417016241699457,20,14,0.7,4.341463414634147,1.9611191749572754
509,13947,0.00015689176507294178,0.3396535813808441,0.0013752622762694955,9,7,0.7777777777777778,0.8292682926829268,3.7087879180908203
510,3350,0.00015583921049255878,0.2600645124912262,0.0011096764355897903,16,8,0.5,2.4634146341463414,3.097405195236206
511,5188,0.00015561353939119726,0.20658724009990692,0.0011406971607357264,18,14,0.7777777777777778,1.7317073170731707,1.7569944858551025
512,3366,0.00015343927952926606,0.24562978744506836,0.0012765967985615134,6,5,0.8333333333333334,0.7073170731707317,2.69990873336792
513,6090,0.00015297895879484713,0.20352528989315033,0.0008889288874343038,6,5,0.8333333333333334,1.0975609756097562,0.6622576117515564
514,10247,0.00015261428779922426,0.2728634774684906,0.0012456013355404139,8,7,0.875,0.6585365853658537,5.415757179260254
515,13713,0.00015200184134300798,0.1443987339735031,0.0006274566403590143,7,4,0.5714285714285714,0.8048780487804879,1.44609534740448
516,2031,0.0001518602075520903,0.26499423384666443,0.002803411800414324,16,13,0.8125,2.1463414634146343,3.542752504348755
517,4618,0.000151705855387263,0.28842487931251526,0.0012534870766103268,15,13,0.8666666666666667,2.902439024390244,2.808147430419922
518,15063,0.0001505925174569711,0.27600523829460144,0.0008540252456441522,14,11,0.7857142857142857,2.024390243902439,1.5964878797531128
519,5825,0.00015010863717179745,0.25853341817855835,0.0014041854301467538,13,12,0.9230769230769231,1.5609756097560976,2.251544952392578
520,6294,0.00014998693950474262,0.14115501940250397,0.004043046850711107,7,2,0.2857142857142857,0.5853658536585366,2.5652966499328613
521,6758,0.00014879298396408558,0.2806503176689148,0.001069915248081088,16,10,0.625,4.926829268292683,2.4771413803100586
522,10854,0.00014862090756651014,0.16135336458683014,0.0005977353430353105,7,5,0.7142857142857143,0.9024390243902439,1.4912890195846558
523,12362,0.00014853230095468462,0.11048302799463272,0.0011556997196748853,17,8,0.47058823529411764,7.804878048780488,3.6375420093536377
524,14849,0.0001483838277636096,0.13357578217983246,0.0027827562298625708,14,8,0.5714285714285714,2.8292682926829267,2.4417247772216797
525,10309,0.00014816506882198155,0.29149651527404785,0.0016777935670688748,21,13,0.6190476190476191,5.975609756097561,1.6823700666427612
526,11905,0.0001481114304624498,0.16270501911640167,0.0010332976235076785,10,6,0.6,0.8780487804878049,2.6178805828094482
527,13229,0.00014722489868290722,0.1815807819366455,0.00042724781087599695,11,6,0.5454545454545454,0.8780487804878049,1.3634984493255615
528,4089,0.0001461643842048943,0.33611366152763367,0.000866031157784164,26,20,0.7692307692307693,2.3902439024390243,3.346308946609497
529,8412,0.00014604462194256485,0.19728370010852814,0.0020920399110764265,27,18,0.6666666666666666,4.682926829268292,3.4038431644439697
530,14442,0.00014528371684718877,0.19742727279663086,0.001183542306534946,12,8,0.6666666666666666,1.170731707317073,1.888398289680481
531,771,0.00014451825700234622,0.4262218475341797,0.0007173152407631278,17,12,0.7058823529411765,2.1463414634146343,1.490617036819458
532,9606,0.00014443603868130594,0.2441830188035965,0.0008636933052912354,12,10,0.8333333333333334,1.2439024390243902,2.032487154006958
533,6236,0.00014405061665456742,0.1982700079679489,0.0008882972761057317,6,4,0.6666666666666666,2.4878048780487805,0.8928331732749939
534,5044,0.00014386046677827835,0.16361047327518463,0.0019569541327655315,19,9,0.47368421052631576,2.341463414634146,2.0868093967437744
535,5909,0.00014359895430970937,0.21130314469337463,0.001548359519802034,18,13,0.7222222222222222,4.170731707317073,3.3350651264190674
536,12967,0.00014306358934845775,0.14279034733772278,0.0004201316914986819,13,7,0.5384615384615384,0.5609756097560976,1.847701072692871
537,204,0.0001430477568646893,0.31583312153816223,0.0010077515617012978,19,14,0.7368421052631579,1.1951219512195121,3.8983209133148193
538,11008,0.0001430300617357716,0.3965621292591095,0.0011521949199959636,13,11,0.8461538461538461,3.926829268292683,1.5196768045425415
539,7201,0.00014290388207882643,0.21330022811889648,0.0011240026215091348,6,6,1.0,0.7073170731707317,0.529352068901062
540,8860,0.00014217427815310657,0.33973631262779236,0.0010849686805158854,25,18,0.72,4.512195121951219,2.2619469165802
541,11128,0.0001418483880115673,0.1139436587691307,0.0011750060366466641,22,14,0.6363636363636364,1.7317073170731707,2.520991325378418
542,14756,0.00014075340004637837,0.38721764087677,0.001593644148670137,7,7,1.0,1.170731707317073,0.75886470079422
543,4188,0.00014051927428226918,0.21130390465259552,0.0009299680241383612,15,11,0.7333333333333333,1.853658536585366,1.70735502243042
544,10210,0.00014032333274371922,0.3568330407142639,0.0010479617631062865,8,7,0.875,1.951219512195122,0.923100471496582
545,11394,0.0001399821776431054,0.21522414684295654,0.0012547059450298548,8,7,0.875,1.3902439024390243,1.2457197904586792
