candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_model_a_norm,decoder_model_b_norm,decoder_model_b_specificity,unique_delta_values
11,bigcodebench,improvement,max,10961,826,4,0.004842615012106538,0.7469586374695864,0.13466247135331139,27.8078003344588,5.045269966125488,1.9114514589309692,2.6394968032836914,0.014925373134328358,4,2,505,0.7191883325576782,0.6948155760765076,0.4913816750049591,763
12,bigcodebench,improvement,max,4561,826,4,0.004842615012106538,0.8561435523114356,0.07141152346376227,14.746479595266909,8.163168907165527,3.1399643421173096,2.599764823913574,0.009950248756218905,4,2,440,0.7101390957832336,0.7040616273880005,0.49785125255584717,785
13,bigcodebench,improvement,max,3537,826,4,0.004842615012106538,0.889294403892944,0.05830928330928331,12.040867003367003,8.73523998260498,3.366232395172119,2.5949604511260986,0.01990049751243781,4,4,464,0.7176409959793091,0.6964122653007507,0.4924936890602112,758
14,bigcodebench,improvement,max,15922,826,4,0.004842615012106538,0.8348540145985401,0.03832880082880083,7.914897371147371,8.759096145629883,3.4749655723571777,2.5206282138824463,0.01990049751243781,4,3,464,0.7375439405441284,0.6752992868423462,0.4779718518257141,793
15,bigcodebench,improvement,max,7097,826,4,0.004842615012106538,0.8071776155717761,0.03799512987012987,7.845994318181819,5.6247076988220215,2.2454915046691895,2.5048892498016357,0.029850746268656716,4,3,759,0.9039792418479919,0.42757558822631836,0.3211100101470947,818
16,bigcodebench,improvement,max,5215,826,4,0.004842615012106538,0.8628345498783455,0.08671080915639326,17.905782090795206,9.071810722351074,3.6466360092163086,2.487720489501953,0.014925373134328358,3,3,297,0.6640040278434753,0.7477282881736755,0.529653012752533,494
17,bigcodebench,improvement,max,5862,826,4,0.004842615012106538,0.8044403892944039,0.04058931264813617,8.381693061840119,11.16033935546875,4.494846343994141,2.4829189777374268,0.01990049751243781,4,2,491,0.5939878225326538,0.8044740557670593,0.57525634765625,779
18,bigcodebench,improvement,max,5534,826,4,0.004842615012106538,0.7679440389294404,0.06233391134077557,12.871952691870156,6.34086799621582,2.566133499145508,2.4709813594818115,0.014925373134328358,4,3,708,0.7971681356430054,0.6037574410438538,0.43097037076950073,823
19,bigcodebench,improvement,max,2208,826,4,0.004842615012106538,0.9057177615571776,0.03318840579710145,6.853405797101449,6.28835916519165,2.6220433712005615,2.398266553878784,0.01990049751243781,4,4,580,0.6759467124938965,0.7369506359100342,0.5215882658958435,797
20,bigcodebench,improvement,max,5244,826,4,0.004842615012106538,0.7962287104622872,0.0598678675660383,12.362714652386908,7.437310695648193,3.159090518951416,2.3542568683624268,0.03482587064676617,4,1,437,0.779788076877594,0.6260423064231873,0.4453185200691223,797
21,bigcodebench,improvement,max,13404,826,4,0.004842615012106538,0.8083941605839416,0.03916375015748453,8.087314407520555,4.7173895835876465,2.0119690895080566,2.344663143157959,0.01990049751243781,4,3,622,0.7996092438697815,0.6005202531814575,0.42890334129333496,813
22,bigcodebench,improvement,early_max,8720,826,4,0.004842615012106538,0.6596715328467153,0.04047735380892361,8.358573561542725,2.6178226470947266,1.153266429901123,2.2699201107025146,0.03482587064676617,3,2,386,0.8670641779899597,0.4981963038444519,0.3649093508720398,504
23,bigcodebench,improvement,max,10417,826,4,0.004842615012106538,0.8245133819951338,0.03180260986016382,6.567238936123828,7.390311241149902,3.2602570056915283,2.2667880058288574,0.024875621890547265,4,3,586,0.7152072191238403,0.6989122629165649,0.4942384660243988,808
24,bigcodebench,improvement,early_max,970,826,4,0.004842615012106538,0.8388077858880778,0.025927934671369248,5.3541185096377495,5.203830718994141,2.30094838142395,2.2616026401519775,0.03482587064676617,4,4,502,0.7278845310211182,0.6856998801231384,0.4850788116455078,718
25,bigcodebench,improvement,max,13746,826,4,0.004842615012106538,0.7548661800486618,0.038421572933036316,7.934054810671999,5.022345066070557,2.240126132965088,2.2419919967651367,0.029850746268656716,4,2,665,0.5848886966705322,0.8111139535903931,0.5810260772705078,809
