rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
193,14937,0.0004996840143576264,0.539543867111206,0.0037833894602954388,24,20,0.8333333333333334,13.725,2.44108247756958
194,610,0.0004985647974535823,0.2551158666610718,0.0016183285042643547,23,8,0.34782608695652173,1.25,5.117295742034912
195,9578,0.0004924916429445148,0.35518205165863037,0.0032317929435521364,23,20,0.8695652173913043,3.85,3.281991481781006
196,13912,0.00049057905562222,0.4093048572540283,0.0045264046639204025,19,17,0.8947368421052632,1.65,3.581347942352295
197,807,0.0004898649058304727,0.4039316475391388,0.004844479262828827,16,13,0.8125,1.4,2.556687116622925
198,11396,0.00048607782809995115,0.4521225690841675,0.004519084468483925,20,18,0.9,7.75,3.4225659370422363
199,11233,0.00048528931802138686,0.23717500269412994,0.0056381006725132465,15,10,0.6666666666666666,3.375,2.63521146774292
200,15326,0.0004839850007556379,0.22731561958789825,0.005799270235002041,17,11,0.6470588235294118,4.8,2.607739210128784
201,1293,0.00048085040180012584,0.3160759210586548,0.00351092335768044,17,11,0.6470588235294118,2.025,1.7265169620513916
202,615,0.0004794991109520197,0.30098041892051697,0.0031731906346976757,17,8,0.47058823529411764,1.725,2.571523904800415
203,9597,0.0004788591177202761,0.45937779545783997,0.0031238673254847527,22,19,0.8636363636363636,1.275,4.072340965270996
204,9281,0.0004734823014587164,0.1467307209968567,0.004794280044734478,18,7,0.3888888888888889,2.725,4.015775203704834
205,6086,0.00047238176921382546,0.18784268200397491,0.0013867010129615664,17,13,0.7647058823529411,1.025,0.7507813572883606
206,9533,0.0004704777675215155,0.3496777415275574,0.00387865724042058,14,10,0.7142857142857143,3.725,1.8239609003067017
207,8145,0.0004691235371865332,0.3018532991409302,0.0061628674156963825,7,7,1.0,5.875,1.1862835884094238
208,13678,0.0004671003553085029,0.48513296246528625,0.0026642733719199896,23,20,0.8695652173913043,2.8,2.0425286293029785
209,9158,0.0004669792833738029,0.3955998122692108,0.005580034106969833,25,20,0.8,5.225,2.019239902496338
210,5498,0.00045942654833197594,0.4411735236644745,0.0034243441186845303,17,12,0.7058823529411765,1.175,3.6016440391540527
